Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S002,Arico,31,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S003,Arico,20,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S003,Arico,21,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S004,Arico,11,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S004,Arico,23,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S005,Arico,13,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S005,Arico,38,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S006,Arico,10,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S006,Arico,15,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S001,Arona,3,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S001,Arona,7,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S002,Arona,4,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S002,Arona,9,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S003,Arona,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S003,Arona,12,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S004,Arona,8,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S004,Arona,11,2021,Santa Cruz de Tenerife,Hombres
