año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D05_S002,05,002, Icod de los Vinos,29590
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S001,01,001, San Cristóbal de La Laguna,57548
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S002,01,002, San Cristóbal de La Laguna,31041
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S003,01,003, San Cristóbal de La Laguna,41026
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S004,01,004, San Cristóbal de La Laguna,28010
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S005,01,005, San Cristóbal de La Laguna,48915
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S006,01,006, San Cristóbal de La Laguna,44997
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S007,01,007, San Cristóbal de La Laguna,39577
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S008,01,008, San Cristóbal de La Laguna,39956
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S009,01,009, San Cristóbal de La Laguna,48187
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S010,01,010, San Cristóbal de La Laguna,51421
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S011,01,011, San Cristóbal de La Laguna,37659
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S012,01,012, San Cristóbal de La Laguna,26871
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S013,01,013, San Cristóbal de La Laguna,57056
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S014,01,014, San Cristóbal de La Laguna,64720
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S015,01,015, San Cristóbal de La Laguna,88313
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S016,01,016, San Cristóbal de La Laguna,57566
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S017,01,017, San Cristóbal de La Laguna,46962
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S018,01,018, San Cristóbal de La Laguna,30307
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S019,01,019, San Cristóbal de La Laguna,46148
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S020,01,020, San Cristóbal de La Laguna,42689
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S021,01,021, San Cristóbal de La Laguna,43256
